Bus,X,Y
mv_f0_n129,2946.759815,4915.224605
mv_f0_n130,7374.215368,3374.577717
mv_f0_n131,3428.221491,5769.592605
mv_f0_n132,5143.64572,3152.291714
mv_f0_n133,2185.412218,2024.301206
mv_f0_n134,5059.614716,2828.253167
mv_f0_n135,5192.804457,2798.335812
mv_f0_n136,3221.93159,4802.324267
mv_f0_n137,2200.954679,3780.549054
mv_f0_n138,5063.743455,2818.816356
mv_f0_n139,6673.416835,1822.206341
mv_f0_n140,1823.739285,1742.134091
mv_f0_n141,5059.959468,3017.127873
mv_f0_n142,2459.419672,3510.876798
mv_f0_n143,3945.418351,6151.984781
mv_f0_n144,4720.065087,2672.65031
mv_f0_n145,2217.627043,1893.079836
mv_f0_n146,6195.182171,1967.742682
mv_f0_n147,3294.470073,961.401014
mv_f0_n148,5378.766085,4875.982025
mv_f0_n149,6156.554989,3257.329777
mv_f0_n150,2954.696244,3121.39218
mv_f0_n151,3200.515558,3303.193576
mv_f0_n152,3395.347608,5166.60013
mv_f0_n153,3279.818118,1018.331219
mv_f0_n154,3345.650953,4643.810675
mv_f0_n155,6671.414588,3126.596144
mv_f0_n156,6692.507247,4151.151798
mv_f0_n157,6671.414588,3124.731051
mv_f0_n158,6030.761967,3191.540131
mv_f0_n159,4026.946015,1999.864589
mv_f0_n160,3203.90241,3323.813239
mv_f0_n161,3260.430526,716.584194
mv_f0_n162,2074.973639,1745.071799
mv_f0_n163,3667.048554,4212.409286
mv_f0_n164,5098.940832,2734.147418
mv_f0_n165,4620.446261,5463.643649
mv_f0_n166,3297.014969,974.104141
mv_f0_n167,3674.31434,5150.341761
mv_f0_n168,2442.312143,4016.578187
mv_f0_n169,2217.626147,1893.083885
mv_f0_n170,6145.105197,3220.216261
mv_f0_n171,3045.79248,5782.135395
mv_f0_n172,2533.402307,3913.975777
mv_f0_n173,3277.959452,3651.201021
mv_f0_n174,3236.82406,5567.914273
mv_f0_n175,6093.448353,3492.656673
mv_f0_n176,3589.147389,3265.866758
mv_f0_n177,3288.427289,994.700644
mv_f0_n178,3426.217229,4965.639024
mv_f0_n179,3329.702372,761.507518
mv_f0_n180,2028.92181,5343.881597
mv_f0_n181,6098.218717,3212.354627
mv_f0_n182,2065.21828,5429.070079
mv_f0_n183,6923.520895,2005.294869
mv_f0_n184,3195.225408,1547.427052
mv_f0_n185,3648.794642,4890.686109
mv_f0_n186,5036.941235,3025.959781
mv_f0_n187,2531.77369,3953.445742
mv_f0_n188,3189.03062,4002.415196
mv_f0_n189,1647.338925,4864.649689
mv_f0_n190,3201.015449,3998.30396
mv_f0_n191,3362.300202,4792.307972
mv_f0_n192,2480.729816,4015.817807
mv_f0_n193,3790.139108,5154.412021
mv_f0_n194,3053.696701,5765.468413
mv_f0_n195,3205.197916,1771.851108
mv_f0_n196,2384.417109,3856.515816
mv_f0_n197,2966.329857,2167.578205
mv_f0_n198,3909.338723,6489.741597
mv_f0_n199,7346.68416,2136.794389
mv_f0_n200,4942.415194,2946.249591
mv_f0_n201,3154.76564,2456.00878
mv_f0_n202,2386.123631,3158.045831
mv_f0_n203,3086.817254,3420.443703
mv_f0_n204,4939.097824,4387.555511
mv_f0_n205,3093.963273,2458.912152
mv_f0_n206,3195.27824,1563.726233
mv_f0_n207,3368.672179,756.213354
mv_f0_n208,1925.855689,1895.142175
mv_f0_n209,6009.622268,2990.759356
mv_f0_n210,2479.052396,1617.349959
mv_f0_n211,3259.075248,3852.721204
mv_f0_n212,7392.36745,2026.860918
mv_f0_n213,3434.814983,5057.348806
mv_f0_n214,3660.532967,3270.4842
mv_f0_n1,2494.487878,4707.662525
mv_f0_n2,3188.827574,4344.985485
mv_f0_n3,6151.669811,2951.564964
mv_f0_n4,2362.355675,1827.921006
mv_f0_n5,3534.470664,2929.624232
mv_f0_n6,1611.445301,4524.177362
mv_f0_n7,2964.419171,4924.448122
mv_f0_n8,4351.733742,6404.348962
mv_f0_n9,3962.608178,3866.3661
mv_f0_n10,3188.863392,4321.78555
mv_f0_n11,6214.717319,2989.999226
mv_f0_n12,2319.784637,1718.942416
