Bus,X,Y
mv_f0_n1,3931.401485,5710.573896
mv_f0_n2,5427.755828,4156.724346
mv_f0_n3,3817.799479,901.706949
mv_f0_n4,4514.278853999999,2370.007683
mv_f0_n5,3997.525414,4397.334537
mv_f0_n6,7728.658353,2493.268649
mv_f0_n7,5853.03979,2175.528229
mv_f0_n8,6520.188079,2885.030755
mv_f0_n9,6418.159364,2435.31939
mv_f0_n10,711.815232,782.874759
mv_f0_n11,7289.529108,2741.500531
mv_f0_n12,6537.66725,2445.425068
mv_f0_n13,3556.319795,3776.024195
mv_f0_n14,5273.127938,1824.655683
mv_f0_n15,5238.635412,2041.087548
mv_f0_n16,2822.49927,5159.728636
mv_f0_n17,7284.016021,2740.612763
mv_f0_n18,3976.824722,4414.963148
mv_f0_n19,727.143113,660.987307
mv_f0_n20,5027.587456,1734.331016
mv_f0_n21,5021.46955,4065.53611
mv_f0_n22,4813.224479,2537.226078
mv_f0_n23,5136.821957,2397.916538
mv_f0_n24,3663.005386,2389.171015
mv_f0_n25,761.586583,959.427399
mv_f0_n26,3908.784842,3182.987476
mv_f0_n27,3818.89651,6013.424224
mv_f0_n28,6919.039804,2129.162348
mv_f0_n29,3400.159413,3893.974119
mv_f0_n30,5323.85445,2464.344907
mv_f0_n31,3908.356502,3182.939019
mv_f0_n32,3736.685626,1816.607211
mv_f0_n33,3399.79077,3894.111456
mv_f0_n34,5095.244164,2601.326514
mv_f0_n35,708.758458,767.775711
mv_f0_n36,4107.645103,4505.513933
mv_f0_n37,4902.607695,1530.443082
mv_f0_n38,606.185023,578.362299
mv_f0_n39,5119.59857,2425.407797
mv_f0_n40,6552.60165,2891.562818
mv_f0_n41,1468.716519,892.804814
mv_f0_n42,5147.04374,4344.075469
mv_f0_n43,3678.601436,1706.588634
mv_f0_n44,7439.359409,2684.0532
mv_f0_n45,4826.853259,1869.738499
mv_f0_n46,2936.090552,775.556765
mv_f0_n47,728.382817,672.896507
mv_f0_n48,5129.401163,3478.470575
mv_f0_n49,5106.543552,2465.018149
mv_f0_n50,6487.408881,3814.415096
mv_f0_n51,3852.7271,5963.369514
mv_f0_n52,3871.329228,3290.015054
mv_f0_n53,3621.585517,3999.061874
mv_f0_n54,5129.954999,2388.868874
mv_f0_n55,3568.882887,3969.205568
mv_f0_n56,3804.392628,1788.643564
mv_f0_n57,707.947966,752.104771
mv_f0_n58,5805.030605,3565.124065
mv_f0_n59,3870.368839,1772.268836
mv_f0_n60,5097.582389,2475.239138
mv_f0_n61,5091.270323,1832.132391
mv_f0_n62,6991.543707,1914.151243
mv_f0_n63,7863.336379,2482.835435
mv_f0_n64,6521.542821,2821.968928
mv_f0_n65,3953.010678,6595.776535
mv_f0_n66,3726.974104,6437.579746
mv_f0_n67,5845.748666,3504.455013
mv_f0_n68,4277.372943,5898.813016
mv_f0_n69,4755.006247,2381.864682
mv_f0_n70,5128.678005,4169.458833
mv_f0_n71,3045.945925,4413.384679
mv_f0_n72,3843.901489,762.016364
mv_f0_n73,4963.033344,3222.685671
mv_f0_n74,7451.075373,2730.019667
mv_f0_n75,7911.666092,2479.152209
mv_f0_n76,4494.780864,6377.416768
mv_f0_n77,1982.870723,4790.17746
mv_f0_n78,4527.694238,6406.910558
mv_f0_n79,3828.203657,6021.703837
mv_f0_n80,6836.672922,2207.435165
mv_f0_n81,709.548033,737.233755
mv_f0_n82,4080.696687,4433.575983
mv_f0_n83,5989.163193,3493.501471
mv_f0_n84,3722.380412,6071.611978
mv_f0_n85,5808.566266,3180.956442
mv_f0_n86,3536.869769,4338.290468
mv_f0_n87,7649.572656,3003.879429
mv_f0_n88,3705.557512,6476.921642
mv_f0_n89,3678.206465,2152.175122
mv_f0_n90,5929.839552,2617.753815
mv_f0_n91,7444.609305,2707.162887
mv_f0_n92,718.273021,715.607567
mv_f0_n93,7438.931069,2684.104507
mv_f0_n94,6300.622769,2803.856984
mv_f0_n95,3902.373242,3198.854057
mv_f0_n96,3872.103518,6083.09611
mv_f0_n97,5359.35094,3516.228789
