Bus,X,Y
mv_f0_n5,8583.238955,3222.466849
mv_f0_n6,5820.8988,1580.773796
mv_f0_n7,5594.549653,2681.729298
mv_f0_n8,8654.798904,3190.599573
mv_f0_n9,6019.147125,2078.136744
mv_f0_n10,5792.005066,1635.179823
mv_f0_n11,5772.37255,1678.373609
mv_f0_n12,6080.841489,3222.59203
mv_f0_n13,6023.079971,2027.263616
mv_f0_n14,5751.863506,1723.476026
mv_f0_n15,7059.951864,1723.271161
mv_f0_n16,5998.075834,1942.83722
mv_f0_n17,7749.809997,810.805807
mv_f0_n18,8542.610115,3269.587624
mv_f0_n19,5898.745514,1779.184868
mv_f0_n20,7698.706061,689.678061
mv_f0_n21,5975.317801,1866.011348
mv_f0_n22,7630.628029,603.488307
mv_f0_n23,1199.463867,6311.509413
mv_f0_n24,7676.092194,619.462079
mv_f0_n25,7047.148178,1606.275269
mv_f0_n26,7087.707819,1623.211857
mv_f0_n27,7113.501985,1712.534239
mv_f0_n28,6198.039329,2611.988955
mv_f0_n29,6494.738966,3257.409477
mv_f0_n30,2141.036261,4959.188764
mv_f0_n31,3212.421165,4597.070571
mv_f0_n32,8272.422995,2635.409066
mv_f0_n33,7385.179781,2724.688175
mv_f0_n34,5474.672806,2875.997017
mv_f0_n35,2308.991001,4651.813506
mv_f0_n36,2286.331001,4869.783794
mv_f0_n37,2264.873346,4688.402038
mv_f0_n38,1341.078303,6023.371145
mv_f0_n39,2302.688067,4807.329063
mv_f0_n40,1521.992118,6009.540912
mv_f0_n41,6472.462449,2075.079843
mv_f0_n42,1429.642312,6017.917252
mv_f0_n43,6077.502607,467.701966
mv_f0_n44,6962.395916,1171.11669
mv_f0_n45,6168.580869,2161.226325
mv_f0_n46,5296.068529,2218.432708
mv_f0_n47,6056.119917,424.049181
mv_f0_n48,6264.875055,2173.783108
mv_f0_n49,3264.551562,4254.873909
mv_f0_n50,8221.855356,2756.229267
mv_f0_n51,6027.067601,327.988637
