phase,dss_name,pp_index,n,mae,rmse,max_ae,mbe
a,mv_f0_l0,0,48,0.25450312018636384,0.261039242365109,0.4071099449622215,0.25450312018636384
a,mv_f0_l10,8,48,13.33730315469083,15.270664505829595,23.32483034637022,13.33730315469083
a,mv_f0_l100,92,48,4.672846360989698,5.14629087766389,8.471870564162755,4.672846360989698
a,mv_f0_l1000,953,48,0.2124001678777507,0.2489245638336861,0.3750104870844575,0.2124001678777507
a,mv_f0_l1001,954,48,13.338226759114832,15.27138933654605,23.32549695068038,13.338226759114832
a,mv_f0_l1002,955,48,0.21240178399712048,0.24892584132048817,0.37501196536435205,0.21240178399712048
a,mv_f0_l1004,956,48,0.13544018179068598,0.1548436022851827,0.30555622484545464,-0.13544018179068598
a,mv_f0_l1005,957,48,8.145379582003422,10.179316380443703,15.601534883690086,7.094759628374895
a,mv_f0_l1006,958,48,4.768034923424229,5.2124055606607875,8.47690206499399,4.768034923424229
a,mv_f0_l1007,959,48,3.999152161804743,4.262894304415765,6.790934129032623,3.999152161804743
a,mv_f0_l1008,960,48,0.23949767896987428,0.2821297816354412,0.5429932736469254,0.23949767896987428
a,mv_f0_l1009,961,48,0.4130958779968565,0.43131099734825346,0.6205052813934313,-0.4130958779968565
a,mv_f0_l101,93,48,0.1489461162817269,0.1536041281014876,0.22732756529060782,-0.1489461162817269
a,mv_f0_l1010,962,48,0.3113115703848848,0.3224985724727346,0.4847051570068621,0.3113115703848848
a,mv_f0_l1011,963,48,0.09146959995007609,0.09591205015368155,0.13955170960077912,-0.09146959995007609
a,mv_f0_l1012,964,48,3.288616516783467,3.537541316438661,6.035609504527612,3.288616516783467
a,mv_f0_l1013,965,48,0.4185418389718867,0.5166751220273679,0.9466838956305463,0.4185418389718867
a,mv_f0_l1014,966,48,3.125190486022936,3.231445030812271,4.402978243495596,3.125190486022936
a,mv_f0_l1015,967,48,3.5093258945463024,3.712747512907189,5.62772026507035,-3.5093258945463024
a,mv_f0_l1016,968,48,0.6034941357112379,0.6431714457785584,1.002705695792045,-0.6034941357112379
a,mv_f0_l1017,969,48,0.16022222045832,0.18090256854154416,0.35291229324302265,-0.16022222045832
a,mv_f0_l1018,970,48,13.334194847118326,15.268176875129203,23.322471751345702,13.334194847118326
a,mv_f0_l1019,971,48,1.3768026676232041,1.4414735806410888,2.0981873592730604,1.3768026676232041
a,mv_f0_l102,94,48,0.17599035725768364,0.18039802512740105,0.2528937619131011,-0.17599035725768364
a,mv_f0_l1020,972,48,0.6357558966379856,0.6757140172331088,1.0525413666000194,-0.6357558966379856
a,mv_f0_l1021,973,48,0.03938993182164383,0.0499483424593582,0.1343024646400331,-0.00824207453551566
a,mv_f0_l1022,974,48,0.29477541261710466,0.32149467335219484,0.5024945301429522,-0.29477541261710466
a,mv_f0_l1023,975,48,0.03939875326699989,0.05002949429725683,0.1338713264732112,-0.006886898408688711
a,mv_f0_l1024,976,48,0.017779883658104262,0.01778153048984671,0.018222895944910104,0.017779883658104262
a,mv_f0_l1025,977,48,0.019745677286125588,0.023230136766198648,0.05365880382472871,-0.019745677286125588
a,mv_f0_l1026,978,48,0.05253397534813803,0.057840197497357713,0.11964039600388432,-0.05253397534813803
a,mv_f0_l1027,979,48,0.04283432337103318,0.04294971984987964,0.0474034461782161,0.04283432337103318
a,mv_f0_l1028,980,48,0.41853968931723484,0.5166735651139994,0.946682116606266,0.41853968931723484
a,mv_f0_l1029,981,48,0.2534134004329191,0.2600646357287538,0.406952886850926,0.2534134004329191
a,mv_f0_l103,95,48,1.577561945830104,1.8649253956649627,3.548738678097898,1.577561945830104
a,mv_f0_l1031,982,48,0.14526041015746224,0.16049760290181572,0.33270382683151944,-0.14526041015746224
a,mv_f0_l1032,983,48,0.5120369985361376,0.5530160051671943,0.8796465472654358,-0.5120369985361376
a,mv_f0_l1033,984,48,1.9005832935608569,2.080395263919078,3.8540877648665877,1.9005832935608569
a,mv_f0_l1034,985,48,2.9427385733265603,3.149052040508824,4.885729682655704,-2.9427385733265603
a,mv_f0_l1035,986,48,1.8947651128450147,2.0992656505572853,3.1750183433076327,1.8947651128450147
a,mv_f0_l1036,987,48,0.5489461639761978,0.5953371734794195,0.8839714994003174,0.5489461639761978
a,mv_f0_l1037,988,48,1.3773091257024312,1.4418882021533268,2.098414323475108,1.3773091257024312
a,mv_f0_l1038,989,48,13.337576867958594,15.270853753998022,23.32496739176498,13.337576867958594
a,mv_f0_l1039,990,48,0.26316078705814544,0.26890620253619096,0.40881862720829876,0.26316078705814544
a,mv_f0_l104,96,48,6.582033586177506,7.458350945604988,11.537823472412526,6.582033586177506
a,mv_f0_l1040,991,48,0.2135547552319773,0.26402795793765627,0.5696092880555649,-0.2120011736940176
a,mv_f0_l1041,992,48,0.10401188344796737,0.11442409218785331,0.20081208283830287,0.055306158738830796
a,mv_f0_l1042,993,48,4.775863410340244,5.220526264009652,8.49372435894597,4.775863410340244
a,mv_f0_l1043,994,48,0.8830330677852102,1.128626443865741,2.8193700823284544,0.8830330677852102
a,mv_f0_l1044,995,48,1.3802483927426092,1.4442872902245774,2.0996911227932493,1.3802483927426092
a,mv_f0_l1045,996,48,0.6808749398796134,0.7285783765953989,1.1301407790685176,-0.6808749398796134
a,mv_f0_l1046,997,48,0.8830355736971268,1.1286282509379117,2.8193722320864705,0.8830355736971268
a,mv_f0_l1047,998,48,2.682309720254397,2.821912908259093,4.361837291241139,-2.682309720254397
a,mv_f0_l1048,999,48,24.31346791384341,25.85388487413466,40.18222881212485,-24.31346791384341
a,mv_f0_l1049,1000,48,5.183590809410002,6.468198808612225,14.610447160081605,5.183590809410002
a,mv_f0_l105,97,48,7.461875738130118,8.652591911182821,17.27521909763179,7.461875738130118
a,mv_f0_l1050,1001,48,0.42414904066279374,0.5309239628137558,1.2440151756797393,0.42414904066279374
a,mv_f0_l1051,1002,48,0.1621964603095539,0.19081884697588308,0.44076860914439053,-0.1621964603095539
a,mv_f0_l1053,1003,48,3.28861597205997,3.5375408575195406,6.035609190500393,3.28861597205997
a,mv_f0_l1054,1004,48,3.125190440885886,3.231445001215786,4.402978264848823,3.125190440885886
a,mv_f0_l1055,1005,48,0.02728915148794145,0.03681728172833577,0.0891314959244299,-0.02728915148794145
a,mv_f0_l1056,1006,48,0.02728860601710922,0.03681699378532649,0.08913128642976809,-0.02728860601710922
a,mv_f0_l1057,1007,48,4.769246407673778,5.213544470453153,8.478287856527464,4.769246407673778
a,mv_f0_l1058,1008,48,0.5578278089820988,0.5814813776180445,0.8695770730186507,-0.5578278089820988
a,mv_f0_l1059,1009,48,0.2546827816612434,0.27677125338802205,0.40319503443801374,-0.2546827816612434
a,mv_f0_l106,98,48,6.582033545923174,7.458350899238409,11.537823410418554,6.582033545923174
a,mv_f0_l1060,1010,48,0.2658178863213571,0.27136549883507216,0.4095921806380378,0.2658178863213571
a,mv_f0_l1061,1011,48,9.363056960600417e-05,0.00010669526829585993,0.0001554209947159,-9.363056960600417e-05
a,mv_f0_l1062,1012,48,0.03595319848132652,0.04069448015048443,0.0870239974287989,-0.03595319848132652
a,mv_f0_l1063,1013,48,10.834976231793613,12.388785154814185,23.783297382656627,10.834976231793613
a,mv_f0_l1064,1014,48,0.26448875820770396,0.27013622062308434,0.40923534822441576,0.26448875820770396
a,mv_f0_l1065,1015,48,0.09956458504124184,0.11065018437208698,0.2314095416027322,-0.09956458504124184
a,mv_f0_l1066,1016,48,0.4185412344405908,0.5166746632092074,0.9466833531809646,0.4185412344405908
a,mv_f0_l1067,1017,48,2.0438369246774344,2.3441398973173553,4.0740615797969895,2.0438369246774344
a,mv_f0_l1068,1018,48,1.2921402246882916,1.3551445889768319,1.9433433050200843,1.2921402246882916
a,mv_f0_l1069,1019,48,0.8116882174960022,0.8586192225750342,1.3007570304571545,-0.8116882174960022
a,mv_f0_l107,99,48,0.009545958896716276,0.009581325049921919,0.011548615860226402,0.009545958896716276
a,mv_f0_l1070,1020,48,2.1052898038500056,2.1605561225930088,2.9457664148874185,2.1052898038500056
a,mv_f0_l1071,1021,48,0.4185402793803936,0.5166740078786055,0.9466826358816678,0.4185402793803936
a,mv_f0_l1072,1022,48,0.012592390033806395,0.01341122460843961,0.0178797934746045,0.0026327655414048767
