bus_name,phase,pp_bus_idx,vn_kv,N,MAPE_%,Max_%,MeanSigned_%
mv_f0_lv574_f0_c1,A,10529,0.4156921938165305,39,20.624314709062563,31.511527926136814,-20.624314709062563
mv_f0_lv574_f0_c0,A,10527,0.4156921938165305,39,20.583801565652646,31.447122929730334,-20.583801565652646
mv_f0_lv574_f0_n1,A,10528,0.4156921938165305,39,20.581023483078628,31.429033356546697,-20.581023483078628
mv_f0_lv574_f0_n0,A,10526,0.4156921938165305,39,20.567306149125304,31.402912607549403,-20.567306149125304
mv_f0_lv585_f0_c1,A,10675,0.4156921938165305,39,20.561169329147834,30.499235255992833,-20.561169329147834
mv_f0_lv574_busbar,A,4200,0.4156921938165305,39,20.548368798673476,31.362813288326706,-20.548368798673476
mv_f0_lv585_f0_c2,A,10677,0.4156921938165305,39,20.541800312867498,30.44927094779622,-20.541800312867498
mv_f0_lv585_f0_n2,A,10676,0.4156921938165305,39,20.52735752755413,30.429474842498905,-20.52735752755413
mv_f0_lv585_f0_n1,A,10674,0.4156921938165305,39,20.522777001115625,30.42319636687054,-20.522777001115625
mv_f0_lv585_f0_c0,A,10673,0.4156921938165305,39,20.51759448715021,30.423106597996853,-20.51759448715021
mv_f0_lv585_f0_n0,A,10672,0.4156921938165305,39,20.506026972812236,30.392819872494112,-20.506026972812236
mv_f0_lv585_busbar,A,4211,0.4156921938165305,39,20.48561805096882,30.352863462920553,-20.48561805096882
mv_f0_lv636_f0_c0,A,11077,0.4156921938165305,39,18.49677090859992,35.044440205327696,-18.49677090859992
mv_f0_lv636_f0_c1,A,11079,0.4156921938165305,39,18.492234816332182,35.029499023904854,-18.492234816332182
mv_f0_lv636_f0_n1,A,11078,0.4156921938165305,39,18.490660206894262,34.99437602307341,-18.490660206894262
mv_f0_lv636_f0_n0,A,11076,0.4156921938165305,39,18.49016090291231,34.983248310406566,-18.49016090291231
mv_f0_lv636_busbar,A,4262,0.4156921938165305,39,18.487564612232696,34.95273913038071,-18.487564612232696
mv_f0_lv12_f0_c1,A,4387,0.4156921938165305,39,18.30806288128377,27.807256750421963,-18.30806288128377
mv_f0_lv12_f0_n1,A,4386,0.4156921938165305,39,18.29463409994447,27.72253289690629,-18.29463409994447
mv_f0_lv12_f0_c0,A,4385,0.4156921938165305,39,18.294492977384245,27.705210736465357,-18.294492977384245
mv_f0_lv12_f0_n0,A,4384,0.4156921938165305,39,18.29037601526223,27.695685716352436,-18.29037601526223
mv_f0_lv12_busbar,A,3638,0.4156921938165305,39,18.28481347594378,27.665834939596916,-18.28481347594378
mv_f0_lv394_f0_c0,A,8253,0.4156921938165305,39,18.10329261277295,30.087576274732257,-18.10329261277295
mv_f0_lv394_f0_c1,A,8255,0.4156921938165305,39,18.088976053499326,30.08407104520979,-18.088976053499326
mv_f0_lv394_f0_n1,A,8254,0.4156921938165305,39,18.060081381405954,30.003802132199354,-18.060081381405954
mv_f0_lv394_f0_n0,A,8252,0.4156921938165305,39,18.050923272960823,29.978378276479912,-18.050923272960823
mv_f0_lv28_f0_c0,A,4437,0.4156921938165305,39,18.03553565627172,27.607753204388725,-18.03553565627172
mv_f0_lv28_f0_n0,A,4436,0.4156921938165305,39,18.028651969651907,27.565401111897046,-18.028651969651907
mv_f0_lv28_f0_n1,A,4438,0.4156921938165305,39,18.02834956397298,27.57679987139494,-18.02834956397298
mv_f0_lv28_f0_c1,A,4439,0.4156921938165305,39,18.027395046831423,27.612748969439348,-18.027395046831423
mv_f0_lv28_busbar,A,3654,0.4156921938165305,39,18.026771846453183,27.540584797921912,-18.026771846453183
mv_f0_lv394_busbar,A,4020,0.4156921938165305,39,18.025177171343636,29.918436158347223,-18.025177171343636
mv_f0_lv685_f0_c0,A,11515,0.4156921938165305,39,18.00569197958966,24.264919242812578,-18.00569197958966
mv_f0_lv685_f0_n0,A,11514,0.4156921938165305,39,17.9795276661769,24.233758852949965,-17.9795276661769
mv_f0_lv685_busbar,A,4311,0.4156921938165305,39,17.971226558585325,24.223872604248186,-17.971226558585325
mv_f0_lv566_f0_c0,A,10351,0.4156921938165305,39,17.85777664666046,25.770964870349584,-17.85777664666046
mv_f0_lv566_f0_n0,A,10350,0.4156921938165305,39,17.839876008586646,25.73432545672816,-17.839876008586646
mv_f0_lv566_busbar,A,4192,0.4156921938165305,39,17.83419736608293,25.722707411520222,-17.83419736608293
mv_f0_lv611_f0_c1,A,10823,0.4156921938165305,39,17.686611726676762,25.10155761881353,-17.686611726676762
mv_f0_lv550_f0_c0,A,10187,0.4156921938165305,39,17.68650212911613,30.096570395697544,-17.68650212911613
mv_f0_lv611_f0_c0,A,10821,0.4156921938165305,39,17.681331839984466,25.085833554825744,-17.681331839984466
mv_f0_lv611_f0_n1,A,10822,0.4156921938165305,39,17.676180386109518,25.080505382211744,-17.676180386109518
mv_f0_lv611_f0_n0,A,10820,0.4156921938165305,39,17.672872188545348,25.073829199774174,-17.672872188545348
mv_f0_lv611_busbar,A,4237,0.4156921938165305,39,17.666881759360926,25.06334840751385,-17.666881759360926
mv_f0_lv550_f0_n0,A,10186,0.4156921938165305,39,17.656247917789226,29.998403143887035,-17.656247917789226
mv_f0_lv550_busbar,A,4176,0.4156921938165305,39,17.646661625271623,29.96730799702102,-17.646661625271623
mv_f0_lv467_f0_c0,A,9355,0.4156921938165305,39,17.63763373102923,25.484423189474835,-17.63763373102923
mv_f0_lv467_f0_c1,A,9357,0.4156921938165305,39,17.63693410323296,25.439140247971423,-17.63693410323296
mv_f0_lv467_f0_n1,A,9356,0.4156921938165305,39,17.62827133664967,25.41103716964969,-17.62827133664967
mv_f0_lv655_f0_c0,A,11219,0.4156921938165305,39,17.625696966732228,25.286909255426835,-17.625696966732228
mv_f0_lv467_f0_n0,A,9354,0.4156921938165305,39,17.62552324435242,25.41049961083813,-17.62552324435242
mv_f0_lv655_f0_n0,A,11218,0.4156921938165305,39,17.619174138537048,25.281492332641943,-17.619174138537048
mv_f0_lv467_busbar,A,4093,0.4156921938165305,39,17.618935316248205,25.396683809994332,-17.618935316248205
