bus_name,pp_bus_idx,N,MAPE_%,Max_%,MeanSigned_%,MAE_pu,MaxAbsDiff_pu
mv_f0_n286,1172,48,13.375508980818807,24.835283911966176,13.375508980818807,0.11355145451021247,0.1903858624884417
mv_f0_n881,3373,48,13.375508980818116,24.835283911965437,13.375508980818116,0.11355145451020705,0.19038586248843714
mv_f0_n2091,1171,48,13.374583910682693,24.833174614144326,13.374583910682693,0.1135453171954524,0.1903737363747614
mv_f0_n3305,1177,48,13.37394965930111,24.831730071396,13.37394965930111,0.11354110884438984,0.19036543311188192
mv_f0_n3446,3508,48,13.373949659300417,24.831730071395256,13.373949659300417,0.11354110884438444,0.19036543311187737
mv_f0_n3307,2797,48,13.373876756635147,24.830895776453417,13.373876756635147,0.1135406567277069,0.1903603621295591
mv_f0_n3224,3473,48,13.373876756634457,24.830895776452635,13.373876756634457,0.11354065672770151,0.19036036212955432
mv_f0_n3334,1307,48,13.372827556798534,24.828933238778646,13.372827556798534,0.11353356951984717,0.1903491674815413
mv_f0_n1270,42,48,13.372813497479214,24.828900347691963,13.372813497479214,0.11353347000360509,0.19034896547938818
mv_f0_n25,199,48,13.330540055572024,24.725714513720845,13.330540055572024,0.11324502887365957,0.18973643970807275
mv_f0_n3431,3513,48,13.330540055571326,24.72571451372007,13.330540055571326,0.11324502887365413,0.18973643970806797
mv_f0_n3381,2866,48,13.3268630433061,24.706561118028908,13.3268630433061,0.11322230064032601,0.18962653617704428
mv_f0_n2860,3570,48,13.32686304330541,24.706561118028148,13.32686304330541,0.11322230064032064,0.18962653617703962
mv_f0_n1322,275,48,13.326418930479102,24.71648191742023,13.326418930479102,0.11321839466807763,0.1896869473376197
mv_f0_n1395,3278,48,13.326418930478406,24.71648191741947,13.326418930478406,0.11321839466807222,0.18968694733761504
mv_f0_n126,198,48,13.326330891820538,24.716263015427987,13.326330891820538,0.11321782766186639,0.18968570330293122
mv_f0_n1240,1378,48,13.326329528857796,24.71625977569142,13.326329528857796,0.1132178181194315,0.1896856833669135
mv_f0_n4141,274,48,13.326328312609894,24.71625688350803,13.326328312609894,0.11321780960483234,0.18968566556959543
mv_f0_n3730,2887,48,13.325772678640808,24.714973641498588,13.325772678640808,0.1132142049585139,0.1896786347570143
mv_f0_n2195,2864,48,13.325247197233002,24.703067958575165,13.325247197233002,0.11321176299574683,0.18960684169115316
mv_f0_n2387,978,48,13.322806903056849,24.69706699493613,13.322806903056849,0.1131958933820462,0.18957241577699757
mv_f0_n3047,2933,48,13.322806903056156,24.69706699493535,13.322806903056156,0.11319589338204082,0.1895724157769928
mv_f0_n1007,977,48,13.32266052113611,24.696855626502717,13.32266052113611,0.11319492617378686,0.18957130639519526
mv_f0_n697,2665,48,13.32259908943085,24.69726785780282,13.32259908943085,0.11319457987599542,0.18957404501453123
mv_f0_n2856,3426,48,13.322599089430156,24.69726785780203,13.322599089430156,0.11319457987599002,0.18957404501452635
mv_f0_n2484,2664,48,13.322292364703495,24.6966443076615,13.322292364703495,0.11319253340754498,0.18957057905423924
mv_f0_n1014,992,48,13.322063999515956,24.695995369598023,13.322063999515956,0.11319098781617128,0.18956680167477646
mv_f0_n3052,2615,48,13.322059704100207,24.6961585288596,13.322059704100207,0.11319099180971857,0.18956788570075545
mv_f0_n3922,3128,48,13.322059704099514,24.696158528858835,13.322059704099514,0.11319099180971315,0.18956788570075078
mv_f0_n2388,2594,48,13.322028946414108,24.696108785125425,13.322028946414108,0.11319077453390358,0.1895676001273895
mv_f0_n3048,2593,48,13.322028899026025,24.69610870142728,13.322028899026025,0.11319077418758205,0.18956759961216263
mv_f0_n3438,2883,48,13.321942896057122,24.695836814701988,13.321942896057122,0.11319018802898428,0.18956598361886923
mv_f0_n2600,3182,48,13.321942896056429,24.69583681470123,13.321942896056429,0.11319018802897889,0.18956598361886456
mv_f0_n971,998,48,13.321924256297159,24.69579357540153,13.321924256297159,0.11319005741264658,0.1895657306808034
mv_f0_n3451,997,48,13.32192337174555,24.695792298150028,13.32192337174555,0.11319005151140867,0.18956572388232884
mv_f0_n3411,2837,48,13.321706942202175,24.69545269965452,13.321706942202175,0.11318859662566194,0.18956387782151374
mv_f0_n3348,2788,48,13.31904414789552,24.6992447034405,13.31904414789552,0.11317126143221623,0.18959609160695257
mv_f0_n3835,3248,48,13.319044147894829,24.69924470343972,13.319044147894829,0.11317126143221083,0.1895960916069478
mv_f0_n1185,41,48,13.318393876556764,24.69836413966796,13.318393876556764,0.11316741446537093,0.18959111623452685
mv_f0_n3745,2902,48,13.31483111370541,24.68975061650799,13.31483111370541,0.11314329330454576,0.18954060704997322
mv_f0_n3717,995,48,13.314349503070977,24.68863848159069,13.314349503070977,0.11314014813229371,0.1895344777520538
mv_f0_n3685,994,48,13.314304377695137,24.688534070109316,13.314304377695137,0.11313984970238326,0.18953389576366375
mv_f0_n3354,237,48,13.314302670896488,24.688529809503542,13.314302670896488,0.1131398379023749,0.18953386953135998
mv_f0_n888,236,48,13.31205331741586,24.68315564223139,13.31205331741586,0.11312467965005983,0.18950260287197362
mv_f0_n3733,2931,48,13.31205331741517,24.683155642230652,13.31205331741517,0.11312467965005445,0.18950260287196907
mv_f0_n1207,1289,48,13.308186864234111,24.674078024578122,13.308186864234111,0.1130986902800143,0.1894499807789929
mv_f0_n3379,1207,48,13.303921258356638,24.664021628571195,13.303921258356638,0.1130698601630377,0.18939137305626585
mv_f0_n934,732,48,13.303134191332086,24.662264117555562,13.303134191332086,0.1130645533204654,0.18938122828984105
mv_f0_n3633,3130,48,13.30313419133139,24.662264117554802,13.30313419133139,0.11306455332045999,0.1893812282898364
mv_f0_n1218,270,48,13.233626406345886,24.507462272717554,13.233626406345886,0.11259773255016516,0.1884910399817652
mv_f0_n3144,2832,48,13.21014022319384,24.532864925759732,13.21014022319384,0.11245947006842992,0.188706236359097
mv_f0_n2380,3100,48,13.210140223193152,24.532864925758954,13.210140223193152,0.11245947006842454,0.18870623635909223
mv_f0_n1915,2829,48,13.210114228766516,24.532770067522378,13.210114228766516,0.11245929483643353,0.18870569172702034
mv_f0_n3176,2807,48,13.209958005962307,24.532199824928583,13.209958005962307,0.11245821799042945,0.18870237772240706
mv_f0_n3498,3534,48,13.209958005961608,24.532199824927826,13.209958005961608,0.112458217990424,0.1887023777224024
mv_f0_n764,1383,48,13.20895478005791,24.52093412511772,13.20895478005791,0.11245173252629607,0.18863539501539284
mv_f0_n2730,3385,48,13.208954780057217,24.520934125116984,13.208954780057217,0.11245173252629066,0.18863539501538829
mv_f0_n3148,1382,48,13.205549101281433,24.51386978517869,13.205549101281433,0.1124289040802473,0.18859460492336633
mv_f0_n3175,1421,48,13.205280706361739,24.513312315846928,13.205280706361739,0.11242709925016246,0.18859137544543592
mv_f0_n411,1349,48,13.205172196015203,24.513086369866212,13.205172196015203,0.11242635701676314,0.1885900448126553
mv_f0_n130,3537,48,13.205172196014514,24.51308636986546,13.205172196014514,0.11242635701675775,0.18859004481265063
mv_f0_n691,2524,48,13.202583087580033,24.508520685293337,13.202583087580033,0.11240854147815632,0.18856441038267213
mv_f0_n426,1348,48,13.202581253081542,24.50851458330576,13.202581253081542,0.11240852864154953,0.18856437267628723
mv_f0_n3353,882,48,13.2016809376155,24.493387146776993,13.2016809376155,0.11240534562755998,0.18848984542223168
mv_f0_n3051,3518,48,13.20168093761481,24.49338714677622,13.20168093761481,0.1124053456275546,0.1884898454222269
mv_f0_n959,2741,48,13.20043120814249,24.488187137841827,13.20043120814249,0.11239571653240028,0.18845495830485093
mv_f0_n600,3149,48,13.2004312081418,24.488187137841074,13.2004312081418,0.1123957165323949,0.18845495830484627
mv_f0_n822,2740,48,13.200152044406858,24.487766788780817,13.200152044406858,0.11239381030013033,0.18845256014234202
mv_f0_n396,881,48,13.198941421315007,24.4875585460753,13.198941421315007,0.11238614463020842,0.1884539146833627
mv_f0_n2152,3024,48,13.198941421314318,24.487558546074546,13.198941421314318,0.11238614463020304,0.18845391468335804
mv_f0_n1559,98,48,13.198861880127566,24.4873950587477,13.198861880127566,0.11238558383881092,0.18845291031743594
mv_f0_n4084,97,48,13.195944518550931,24.48143507696897,13.195944518550931,0.1123651012812389,0.1884164860471389
