phase,dss_name,pp_index,n,mae,rmse,max_ae,mbe
a,mv_f0_l0,0,48,0.08915645413712332,0.09512805072564468,0.1790803215419292,0.08915645413712332
a,mv_f0_l1,1,0,,,,
a,mv_f0_l10,10,0,,,,
a,mv_f0_l100,100,0,,,,
a,mv_f0_l1000,1000,0,,,,
a,mv_f0_l1001,1001,0,,,,
a,mv_f0_l1002,1002,0,,,,
a,mv_f0_l1003,1003,0,,,,
a,mv_f0_l1004,1004,0,,,,
a,mv_f0_l1005,1005,0,,,,
a,mv_f0_l1006,1006,0,,,,
a,mv_f0_l1007,1007,0,,,,
a,mv_f0_l1008,1008,0,,,,
a,mv_f0_l1009,1009,0,,,,
a,mv_f0_l101,101,0,,,,
a,mv_f0_l1010,1010,0,,,,
a,mv_f0_l1011,1011,0,,,,
a,mv_f0_l1012,1012,0,,,,
a,mv_f0_l1013,1013,0,,,,
a,mv_f0_l1014,1014,0,,,,
a,mv_f0_l1015,1015,0,,,,
a,mv_f0_l1016,1016,0,,,,
a,mv_f0_l1017,1017,0,,,,
a,mv_f0_l1018,1018,0,,,,
a,mv_f0_l1019,1019,0,,,,
a,mv_f0_l102,102,48,0.08915594073085076,0.09512754817698002,0.17907972036887143,0.08915594073085076
a,mv_f0_l1020,1020,0,,,,
a,mv_f0_l1021,1021,0,,,,
a,mv_f0_l1022,1022,0,,,,
a,mv_f0_l1023,1023,0,,,,
a,mv_f0_l1024,1024,0,,,,
a,mv_f0_l1025,1025,0,,,,
a,mv_f0_l1026,1026,0,,,,
a,mv_f0_l1027,1027,0,,,,
a,mv_f0_l1028,1028,0,,,,
a,mv_f0_l1029,1029,0,,,,
a,mv_f0_l103,103,0,,,,
a,mv_f0_l1030,1030,0,,,,
a,mv_f0_l1031,1031,0,,,,
a,mv_f0_l1032,1032,0,,,,
a,mv_f0_l1033,1033,0,,,,
a,mv_f0_l1034,1034,0,,,,
a,mv_f0_l1035,1035,0,,,,
a,mv_f0_l1036,1036,0,,,,
a,mv_f0_l1037,1037,0,,,,
a,mv_f0_l1038,1038,0,,,,
a,mv_f0_l1039,1039,0,,,,
a,mv_f0_l104,104,0,,,,
a,mv_f0_l1040,1040,0,,,,
a,mv_f0_l1041,1041,0,,,,
a,mv_f0_l1042,1042,0,,,,
a,mv_f0_l1043,1043,0,,,,
a,mv_f0_l1044,1044,0,,,,
a,mv_f0_l1045,1045,0,,,,
a,mv_f0_l1046,1046,0,,,,
a,mv_f0_l1047,1047,0,,,,
a,mv_f0_l1048,1048,0,,,,
a,mv_f0_l1049,1049,48,0.00025013500555291253,0.00025013509024058884,0.0002504093611725,-0.00025013500555291253
a,mv_f0_l105,105,48,0.08915611240021404,0.09512771341254901,0.1790799098534528,0.08915611240021404
a,mv_f0_l1050,1050,0,,,,
a,mv_f0_l1051,1051,0,,,,
a,mv_f0_l1052,1052,0,,,,
a,mv_f0_l1053,1053,0,,,,
a,mv_f0_l1054,1054,0,,,,
a,mv_f0_l1055,1055,0,,,,
a,mv_f0_l1056,1056,0,,,,
a,mv_f0_l1057,1057,0,,,,
a,mv_f0_l1058,1058,0,,,,
a,mv_f0_l1059,1059,0,,,,
a,mv_f0_l106,106,0,,,,
a,mv_f0_l1060,1060,0,,,,
a,mv_f0_l1061,1061,0,,,,
a,mv_f0_l1062,1062,0,,,,
a,mv_f0_l1063,1063,0,,,,
a,mv_f0_l1064,1064,0,,,,
a,mv_f0_l1065,1065,0,,,,
a,mv_f0_l1066,1066,0,,,,
a,mv_f0_l1067,1067,0,,,,
a,mv_f0_l1068,1068,0,,,,
a,mv_f0_l1069,1069,0,,,,
a,mv_f0_l107,107,0,,,,
a,mv_f0_l1070,1070,0,,,,
a,mv_f0_l1071,1071,0,,,,
a,mv_f0_l1072,1072,0,,,,
a,mv_f0_l1073,1073,0,,,,
a,mv_f0_l1074,1074,0,,,,
a,mv_f0_l1075,1075,0,,,,
a,mv_f0_l1076,1076,0,,,,
a,mv_f0_l1077,1077,0,,,,
a,mv_f0_l1078,1078,0,,,,
a,mv_f0_l1079,1079,0,,,,
a,mv_f0_l108,108,0,,,,
a,mv_f0_l1080,1080,0,,,,
a,mv_f0_l1081,1081,0,,,,
a,mv_f0_l1082,1082,0,,,,
a,mv_f0_l1083,1083,0,,,,
a,mv_f0_l1084,1084,0,,,,
a,mv_f0_l1085,1085,0,,,,
a,mv_f0_l1086,1086,0,,,,
a,mv_f0_l1087,1087,0,,,,
a,mv_f0_l1088,1088,0,,,,
a,mv_f0_l1089,1089,0,,,,
a,mv_f0_l109,109,0,,,,
a,mv_f0_l1090,1090,0,,,,
a,mv_f0_l1091,1091,0,,,,
a,mv_f0_l1092,1092,0,,,,
a,mv_f0_l1093,1093,0,,,,
a,mv_f0_l1094,1094,0,,,,
a,mv_f0_l1095,1095,0,,,,
a,mv_f0_l1096,1096,0,,,,
a,mv_f0_l1097,1097,0,,,,
a,mv_f0_l1098,1098,0,,,,
a,mv_f0_l1099,1099,0,,,,
a,mv_f0_l11,11,0,,,,
a,mv_f0_l110,110,0,,,,
a,mv_f0_l1100,1100,0,,,,
a,mv_f0_l1101,1101,0,,,,
a,mv_f0_l1102,1102,0,,,,
a,mv_f0_l1103,1103,0,,,,
a,mv_f0_l1104,1104,0,,,,
a,mv_f0_l1105,1105,0,,,,
a,mv_f0_l1106,1106,0,,,,
a,mv_f0_l1107,1107,0,,,,
a,mv_f0_l1108,1108,0,,,,
a,mv_f0_l1109,1109,0,,,,
a,mv_f0_l111,111,0,,,,
a,mv_f0_l1110,1110,0,,,,
a,mv_f0_l1111,1111,0,,,,
a,mv_f0_l1112,1112,0,,,,
a,mv_f0_l1113,1113,0,,,,
a,mv_f0_l1114,1114,0,,,,
a,mv_f0_l1115,1115,0,,,,
a,mv_f0_l1116,1116,0,,,,
a,mv_f0_l1117,1117,0,,,,
a,mv_f0_l1118,1118,0,,,,
a,mv_f0_l1119,1119,0,,,,
a,mv_f0_l112,112,0,,,,
a,mv_f0_l1120,1120,0,,,,
a,mv_f0_l1121,1121,0,,,,
a,mv_f0_l1122,1122,0,,,,
a,mv_f0_l1123,1123,0,,,,
a,mv_f0_l1124,1124,0,,,,
a,mv_f0_l1125,1125,0,,,,
a,mv_f0_l1126,1126,0,,,,
a,mv_f0_l1127,1127,0,,,,
a,mv_f0_l1128,1128,0,,,,
a,mv_f0_l1129,1129,0,,,,
a,mv_f0_l113,113,0,,,,
a,mv_f0_l1130,1130,0,,,,
a,mv_f0_l1131,1131,0,,,,
a,mv_f0_l1132,1132,0,,,,
a,mv_f0_l1133,1133,0,,,,
a,mv_f0_l1134,1134,0,,,,
a,mv_f0_l1135,1135,0,,,,
a,mv_f0_l1136,1136,0,,,,
a,mv_f0_l1137,1137,0,,,,
a,mv_f0_l1138,1138,0,,,,
a,mv_f0_l1139,1139,0,,,,
a,mv_f0_l114,114,48,0.3313348102989336,0.3555242058847337,0.6734632801636113,-0.3313348102989336
a,mv_f0_l1140,1140,0,,,,
a,mv_f0_l1141,1141,0,,,,
a,mv_f0_l1142,1142,0,,,,
