phase,dss_name,pp_index,n,mae,rmse,max_ae,mbe
a,mv_f0_lv_arno_valley,261,0,,,,
a,mv_f0_lv_balmain_blue_lake,409,0,,,,
a,mv_f0_lv_barro_3e_donnybrook,467,0,,,,
a,mv_f0_lv_barro_donnybrook,269,0,,,,
a,mv_f0_lv_bells_eltes,618,48,3.069372193814832,3.334868166175418,6.047245506353679,3.069372193814832
a,mv_f0_lv_black_flat_northwood,515,0,,,,
a,mv_f0_lv_blue_lake_buckland,68,0,,,,
a,mv_f0_lv_bosco_plenty_valley,234,0,,,,
a,mv_f0_lv_broadford_gulli,79,0,,,,
a,mv_f0_lv_broadford_wallan_402,60,0,,,,
a,mv_f0_lv_broadford_wandongstn,141,0,,,,
a,mv_f0_lv_budd_william,359,0,,,,
a,mv_f0_lv_bunting_mckane,298,0,,,,
a,mv_f0_lv_caladenia_wallan,308,0,,,,
a,mv_f0_lv_cameron_merriang_2,154,0,,,,
a,mv_f0_lv_cassette_desmodium,476,0,,,,
a,mv_f0_lv_cavallo_l734_valley,549,0,,,,
a,mv_f0_lv_cavallo_l740_valley,564,0,,,,
a,mv_f0_lv_clarkes_rd_p112,383,0,,,,
a,mv_f0_lv_clarkes_rd_p114,371,0,,,,
a,mv_f0_lv_craig_valley,542,0,,,,
a,mv_f0_lv_design_mcinerney,418,0,,,,
a,mv_f0_lv_dixon_wildwood,397,0,,,,
a,mv_f0_lv_donnybrk-langley_pk,76,0,,,,
a,mv_f0_lv_donnybrook_hume,630,0,,,,
a,mv_f0_lv_donnybrook_hunter,585,0,,,,
a,mv_f0_lv_donnybrook_n661,449,48,1.7559555882181137,1.7575525988291192,2.1036765567653646,1.7559555882181137
a,mv_f0_lv_donnybrook_p106a,690,0,,,,
a,mv_f0_lv_donnybrook_p108a,231,0,,,,
a,mv_f0_lv_donnybrook_p255,312,0,,,,
a,mv_f0_lv_donnybrook_williams,357,0,,,,
a,mv_f0_lv_dry_ck_lyn,498,0,,,,
a,mv_f0_lv_durant_oakley,264,48,2.301288624059516,2.4289695897354933,3.8052434691659514,2.301288624059516
a,mv_f0_lv_eastern_lookout,363,0,,,,
a,mv_f0_lv_eastern_ridge/emilia,206,0,,,,
a,mv_f0_lv_eastern_ridge/villa,221,0,,,,
a,mv_f0_lv_elizabeth_2_merriang,73,0,,,,
a,mv_f0_lv_epping_kilmore_p390,315,0,,,,
a,mv_f0_lv_eucalypt_station,62,0,,,,
a,mv_f0_lv_ferwerda_dalls,395,0,,,,
a,mv_f0_lv_fina_valley,319,0,,,,
a,mv_f0_lv_fiona_hilaire,454,0,,,,
a,mv_f0_lv_fir_crystal,367,0,,,,
a,mv_f0_lv_fitzroy_tambo,699,0,,,,
a,mv_f0_lv_fourth_2nd,417,0,,,,
a,mv_f0_lv_fourth_ave_32413,19,0,,,,
a,mv_f0_lv_fourth_ave_32414,37,0,,,,
a,mv_f0_lv_fourth_ave_32416,50,0,,,,
a,mv_f0_lv_fourth_ave_32417,58,0,,,,
a,mv_f0_lv_fourth_ave_32419,75,0,,,,
a,mv_f0_lv_freeway_offset,428,0,,,,
a,mv_f0_lv_glen_robin_tafe,608,0,,,,
a,mv_f0_lv_glenburnie_forth,584,0,,,,
a,mv_f0_lv_glenburnie_junction,481,0,,,,
a,mv_f0_lv_glenburnie_p102,382,0,,,,
a,mv_f0_lv_glenburnie_p2a_wallan,500,0,,,,
a,mv_f0_lv_glenburnie_p3_wallan,566,0,,,,
a,mv_f0_lv_goding/pump,707,0,,,,
a,mv_f0_lv_goding_1,554,0,,,,
a,mv_f0_lv_goding_2,601,0,,,,
a,mv_f0_lv_goodman_fitzpatrick,368,48,0.6940066430659672,0.9061859149635474,2.671391941034475,-0.10288779073499521
a,mv_f0_lv_grandview_merriang,627,0,,,,
a,mv_f0_lv_guava_sequoia,557,0,,,,
a,mv_f0_lv_heytesbury_williams,349,0,,,,
a,mv_f0_lv_hume_nth_serv_centre,673,0,,,,
a,mv_f0_lv_hume_sth_serv_centre,92,0,,,,
a,mv_f0_lv_hyndman_wildwood,33,0,,,,
a,mv_f0_lv_inglis_klandy,215,0,,,,
a,mv_f0_lv_jenkins_5765704,658,0,,,,
a,mv_f0_lv_junct_p12_glenburnie,149,0,,,,
a,mv_f0_lv_junction_glenburnie,490,0,,,,
a,mv_f0_lv_kauri_black_flat,337,0,,,,
a,mv_f0_lv_kilmore_wandong_crb,514,0,,,,
a,mv_f0_lv_laffan_william,345,0,,,,
a,mv_f0_lv_lookout_valley,279,0,,,,
a,mv_f0_lv_mcnaughton_randall,266,0,,,,
a,mv_f0_lv_merriang_eddy,169,0,,,,
a,mv_f0_lv_merriang_p134,120,0,,,,
a,mv_f0_lv_merriang_p163,67,0,,,,
a,mv_f0_lv_merriang_p169,119,0,,,,
a,mv_f0_lv_merriang_p190,34,0,,,,
a,mv_f0_lv_merriang_p198,577,0,,,,
a,mv_f0_lv_merriang_p223,184,0,,,,
a,mv_f0_lv_merriang_p9e_hadfld,385,0,,,,
a,mv_f0_lv_millbrook_warren,159,0,,,,
a,mv_f0_lv_mmbw_jacks_ck,200,0,,,,
a,mv_f0_lv_mountain_baden,384,0,,,,
a,mv_f0_lv_mountain_eucalypt,251,0,,,,
a,mv_f0_lv_mountain_water_treat,391,0,,,,
a,mv_f0_lv_mulgrave_litoria,320,0,,,,
a,mv_f0_lv_newbridge_tower,305,0,,,,
a,mv_f0_lv_nth_mountain_12267,632,0,,,,
a,mv_f0_lv_panuzzo_grandview,416,0,,,,
a,mv_f0_lv_patterson_mitchell,570,0,,,,
a,mv_f0_lv_plenty_valley_lot_8,471,0,,,,
a,mv_f0_lv_rail_affleck,484,0,,,,
a,mv_f0_lv_rail_p1_st_mountain,331,0,,,,
a,mv_f0_lv_samson_brook_richmnd,155,0,,,,
a,mv_f0_lv_saunders_merriang,474,0,,,,
a,mv_f0_lv_scanlons_broadford,652,0,,,,
a,mv_f0_lv_sewer_pump_broadford,177,0,,,,
a,mv_f0_lv_shell_bunker_hill,99,0,,,,
a,mv_f0_lv_spring_p2_donnybrook,657,0,,,,
a,mv_f0_lv_st_george_court,692,0,,,,
a,mv_f0_lv_station_wallan_rly,408,0,,,,
a,mv_f0_lv_taponga_kiewa,616,0,,,,
a,mv_f0_lv_toorourrong_jack,443,0,,,,
a,mv_f0_lv_toscana/eastern_ridg,236,0,,,,
a,mv_f0_lv_trophis_pascal,536,0,,,,
a,mv_f0_lv_tuxworth_moxham,356,48,1.8846244815306206,1.9295112309608058,2.6204361033119747,1.8846244815306206
a,mv_f0_lv_valley_1_eastern,248,0,,,,
a,mv_f0_lv_valley_1_william,32,0,,,,
a,mv_f0_lv_valley_fina,182,0,,,,
a,mv_f0_lv_valley_outlook,179,0,,,,
a,mv_f0_lv_valley_william,97,0,,,,
a,mv_f0_lv_wallan_caladenia_2n,691,0,,,,
a,mv_f0_lv_wallan_commercial,293,0,,,,
a,mv_f0_lv_wallan_fir,113,0,,,,
a,mv_f0_lv_wallan_gas_&_fuel,183,0,,,,
a,mv_f0_lv_wallan_glenburnie,61,0,,,,
a,mv_f0_lv_wallan_p33_merriang,362,0,,,,
a,mv_f0_lv_wallan_rly_station,433,0,,,,
a,mv_f0_lv_wallan_sewer_pump,437,0,,,,
a,mv_f0_lv_wallan_walnut,265,0,,,,
